x,y,z
-11,0,24
"-14,7721163","2,604722665",24
"-14,09538931","5,13030215",24
"-15,58845727",9,24
"-13,78879998","11,57017697",24
"-11,57017697","13,78879998",24
"-7,5","12,99038106",24
"-4,788282007","13,15569669",24
"-1,736481777","9,84807753",24
0,10,24
"2,95201902","16,7417318",24
"5,814342437","15,97477455",24
11,"19,05255888",24
"12,85575219","15,32088886",24
"13,02275553","10,92738936",24
"12,99038106","7,5",24
"13,15569669","4,788282007",24
"12,80250079","2,25742631",24
18,0,24
-11,0,39
"-12,80250079","2,25742631",39
"-13,15569669","4,788282007",39
"-13,85640646",8,39
"-13,02275553","10,92738936",39
"-10,92738936","13,02275553",39
"-6,5","11,25833025",39
"-4,788282007","13,15569669",39
"-2,083778132","11,81769304",39
0,9,39
"2,431074487","13,78730854",39
"5,472322293","15,03508193",39
10,"17,32050808",39
"11,57017697","13,78879998",39
"11,49066665","9,641814145",39
"12,12435565",7,39
"11,27631145","4,10424172",39
"8,863269777","1,562833599",39
17,0,39
-15,0,"85,55"
"-20,68096281","3,646611731","85,55"
"-18,79385242","6,840402867","85,55"
"-19,91858429","11,5","85,55"
"-19,15111108","16,06969024","85,55"
"-14,78411502","17,61902219","85,55"
"-9,5","16,45448267","85,55"
"-5,814342437","15,97477455","85,55"
"-2,95201902","16,7417318","85,55"
0,17,"85,55"
"3,993908086","22,65057832","85,55"
"7,524443153","20,67323766","85,55"
9,"15,58845727","85,55"
"11,57017697","13,78879998","85,55"
"11,49066665","9,641814145","85,55"
"15,58845727",9,"85,55"
"15,97477455","5,814342437","85,55"
"11,81769304","2,083778132","85,55"
10,0,"85,55"
-20,0,"102,55"
"-23,63538607","4,167556264","102,55"
"-21,61293028","7,866463296","102,55"
"-22,5166605",13,"102,55"
"-19,91715552","16,71247785","102,55"
"-17,99805307","21,44924441","102,55"
-12,"20,78460969","102,55"
"-7,866463296","21,61293028","102,55"
"-3,820259909","21,66577057","102,55"
0,21,"102,55"
"4,862148975","27,57461708","102,55"
"10,2606043","28,19077862","102,55"
14,"24,24871131","102,55"
"13,4985398","16,08693331","102,55"
"15,32088886","12,85575219","102,55"
"17,32050808",10,"102,55"
"21,61293028","7,866463296","102,55"
"14,7721163","2,604722665","102,55"
19,0,"102,55"
8,"-13,85640646",24
"2,736161147","-7,517540966",24
"2,431074487","-13,78730854",24
0,-16,24
"-3,472963553","-19,69615506",24
"-7,866463296","-21,61293028",24
"-11,5","-19,91858429",24
"-16,06969024","-19,15111108",24
"-15,32088886","-12,85575219",24
"-14,72243186","-8,5",24
"-15,03508193","-5,472322293",24
"-14,7721163","-2,604722665",24
-10,0,24
"-13,78730854","2,431074487",24
"-14,09538931","5,13030215",24
"-18,18653348","10,5",24
"-19,15111108","16,06969024",24
"-15,42690263","18,38506663",24
-11,"19,05255888",24
3,"-5,196152423",39
"1,710100717","-4,698463104",39
"0,8682408883","-4,924038765",39
0,-6,39
"-1,041889066","-5,908846518",39
"-3,420201433","-9,396926208",39
-6,"-10,39230485",39
"-7,070663707","-8,426488874",39
"-7,660444431","-6,427876097",39
"-8,660254038",-5,39
"-7,517540966","-2,736161147",39
"-5,908846518","-1,041889066",39
-4,0,39
"-8,863269777","1,562833599",39
"-8,457233587","3,07818129",39
"-10,39230485",6,39
"-11,49066665","9,641814145",39
"-12,85575219","15,32088886",39
"-10,5","18,18653348",39
"3,5","-6,062177826","85,55"
"2,394141003","-6,577848346","85,55"
"2,95201902","-16,7417318","85,55"
0,-14,"85,55"
"-2,604722665","-14,7721163","85,55"
"-4,788282007","-13,15569669","85,55"
"-7,5","-12,99038106","85,55"
"-9,641814145","-11,49066665","85,55"
"-7,660444431","-6,427876097","85,55"
"-9,526279442","-5,5","85,55"
"-9,396926208","-3,420201433","85,55"
"-10,83288528","-1,910129954","85,55"
-11,0,"85,55"
"-20,68096281","3,646611731","85,55"
"-15,97477455","5,814342437","85,55"
"-21,65063509","12,5","85,55"
"-22,21528885","18,64084068","85,55"
"-19,9264159","23,74737774","85,55"
-15,"25,98076211","85,55"
-1,"1,732050808","102,55"
"-1,710100717","4,698463104","102,55"
"1,389185421","-7,878462024","102,55"
0,-5,"102,55"
"-1,389185421","-7,878462024","102,55"
"-2,394141003","-6,577848346","102,55"
