0,0,0
-25.108,3.0749e-15,3.7415
-25.814,14.903,5.4516
-21.011,36.393,9.8979
1.9402e-15,31.686,6.1357
21.481,37.207,10.24
28.255,16.313,6.4777
32.626,0,6.4777
-23.737,2.9069e-15,19.205
-23.812,13.748,20.573
-20.796,36.019,25.703
1.9138e-15,31.254,21.941
21.735,37.647,26.387
26.253,15.157,21.599
28.435,0,20.915
-15.333,1.8778e-15,65.684
-23.045,13.305,69.788
-18.003,31.183,73.208
1.802e-15,29.429,70.814
18.473,31.996,73.55
19.789,11.425,68.42
25.67,0,69.446
8.3351,-1.0208e-15,75.16
4.777,-2.758,76.186
2.2882,-3.9632,76.528
-1.6514e-16,-2.697,77.212
-0.40878,-0.70803,77.896
0.10576,0.061063,78.238
-2.697,-0,77.212
10.205,-17.676,2.0314
-4.785e-15,-26.048,4.0835
-16.783,-29.069,6.8197
-21.745,-12.554,3.7415
-22.289,2.7297e-15,2.7155
-25.814,14.903,5.4516
-17.723,30.696,7.5037
11.868,-20.557,19.205
-4.8783e-15,-26.556,20.231
-17.507,-30.322,23.309
-25.44,-14.688,21.257
-25.616,3.1371e-15,19.889
-28.695,16.567,22.625
-21.735,37.647,26.387
13.305,-23.045,69.788
-6.2691e-15,-34.127,72.524
-16.594,-28.741,72.182
-30.369,-17.533,72.866
-34.127,4.1794e-15,72.524
-29.555,17.064,72.524
-18.473,31.996,73.55
-1.8183,3.1494,76.87
8.4066e-16,4.5763,76.528
1.3485,2.3356,77.212
-0.10576,-0.061063,78.238
-2.0015,2.4511e-16,78.922
-4.1748,2.4103,79.949
-0.53091,0.91956,78.58
17.253,29.883,7.1617
30.696,17.723,7.5037
26.048,-6.3799e-15,4.0835
31.51,-18.192,7.8458
11.615,-20.117,3.0575
-3.5766e-15,-19.47,1.6894
-14.434,-25,5.1096
15.627,27.067,21.941
27.881,16.097,22.283
19.978,-4.8932e-15,17.837
27.881,-16.097,22.283
7.17,-12.419,15.785
-2.1164e-15,-11.521,14.759
-10.929,-18.929,18.521
14.714,25.486,70.814
26.3,15.184,71.156
19.092,-4.6762e-15,67.052
19.789,-11.425,68.42
0.14916,-0.25835,60.212
-2.2742e-16,-1.238,60.554
-5.3175,-9.2101,63.974
-10.276,-17.798,70.714
-14.543,-8.3962,72.082
-15.853,3.8828e-15,72.424
-3.1494,1.8183,76.87
1.4706,-2.5472,79.264
-5.4029e-16,-2.9412,79.264
-3.35,-5.8023,80.633
-26.988,3.3051e-15,4.4256
-29.775,10.837,6.1357
-24.993,20.972,6.4777
-21.481,37.207,10.24
-5.3391,30.279,5.7936
5.9918,33.981,7.1617
21.951,38.02,10.582
27.872,23.388,7.8458
28.009,10.195,5.4516
31.686,0,6.1357
-25.616,3.1371e-15,19.889
-27.604,10.047,21.257
-24.662,20.694,22.283
-21.265,36.833,26.045
-5.5905,31.705,22.283
5.5905,31.705,22.283
21.735,37.647,26.387
27.542,23.11,23.651
27.604,10.047,21.257
29.375,0,21.257
-22.851,2.7984e-15,68.42
-26.771,9.7438,70.472
-23.983,20.125,71.498
-17.533,30.369,72.866
