x,y,z
-21,0,24
"-21,66577057","3,820259909",24
"-20,67323766","7,524443153",24
"-18,18653348","10,5",24
"-15,32088886","12,85575219",24
"-12,21296458","14,55484442",24
-11,"19,05255888",24
"-8,20848344","22,5526229",24
"-3,820259909","21,66577057",24
0,25,24
"3,820259909","21,66577057",24
"7,866463296","21,61293028",24
12,"20,78460969",24
"14,14132741","16,85297775",24
"16,08693331","13,4985398",24
"18,18653348","10,5",24
"19,73354504","7,18242301",24
"18,71134731","3,299315376",24
18,0,24
-21,0,39
"-22,65057832","3,993908086",39
"-19,73354504","7,18242301",39
"-17,32050808",10,39
"-16,08693331","13,4985398",39
"-13,4985398","16,08693331",39
"-11,5","19,91858429",39
"-8,550503583","23,49231552",39
"-4,341204442","24,62019383",39
0,26,39
"3,993908086","22,65057832",39
"8,20848344","22,5526229",39
12,"20,78460969",39
"14,78411502","17,61902219",39
"16,85297775","14,14132741",39
"19,05255888",11,39
"18,79385242","6,840402867",39
"18,71134731","3,299315376",39
20,0,39
-22,0,"85,55"
"-22,65057832","3,993908086","85,55"
"-21,61293028","7,866463296","85,55"
"-19,05255888",11,"85,55"
"-18,38506663","15,42690263","85,55"
"-13,4985398","16,08693331","85,55"
-14,"24,24871131","85,55"
"-10,94464459","30,07016387","85,55"
"-5,556741685","31,5138481","85,55"
0,29,"85,55"
"5,20944533","29,54423259","85,55"
"10,2606043","28,19077862","85,55"
"13,5","23,3826859","85,55"
"18,64084068","22,21528885","85,55"
"18,38506663","15,42690263","85,55"
"20,78460969",12,"85,55"
"18,79385242","6,840402867","85,55"
"16,7417318","2,95201902","85,55"
16,0,"85,55"
-24,0,"102,55"
"-23,63538607","4,167556264","102,55"
"-23,49231552","8,550503583","102,55"
"-19,91858429","11,5","102,55"
"-14,55484442","12,21296458","102,55"
"-14,78411502","17,61902219","102,55"
"-14,5","25,11473671","102,55"
"-10,2606043","28,19077862","102,55"
"-5,035797152","28,55942484","102,55"
0,29,"102,55"
"5,383093508","30,52904034","102,55"
"9,918584156","27,251086","102,55"
"14,5","25,11473671","102,55"
"17,99805307","21,44924441","102,55"
"19,91715552","16,71247785","102,55"
"20,78460969",12,"102,55"
"20,67323766","7,524443153","102,55"
"17,72653955","3,125667198","102,55"
18,0,"102,55"
"6,5","-11,25833025",24
"4,788282007","-13,15569669",24
"2,083778132","-11,81769304",24
0,-14,24
"-2,25742631","-12,80250079",24
"-4,788282007","-13,15569669",24
"-6,5","-11,25833025",24
"-7,713451316","-9,192533317",24
"-8,426488874","-7,070663707",24
"-8,660254038",-5,24
"-8,457233587","-3,07818129",24
"-10,83288528","-1,910129954",24
-11,0,24
"-10,83288528","1,910129954",24
"-10,33661883","3,762221577",24
"-10,39230485",6,24
"-10,7246222","8,999026536",24
"-10,92738936","13,02275553",24
"-7,5","12,99038106",24
"-0,5","0,8660254038",39
"2,05212086","-5,638155725",39
"1,389185421","-7,878462024",39
0,-6,39
"-1,389185421","-7,878462024",39
"-2,394141003","-6,577848346",39
-3,"-5,196152423",39
"-1,928362829","-2,298133329",39
"-2,298133329","-1,928362829",39
"-7,794228634","-4,5",39
"-4,698463104","-1,710100717",39
"-1,969615506","-0,3472963553",39
-3,0,39
"-2,954423259","0,520944533",39
"-5,638155725","2,05212086",39
"-6,062177826","3,5",39
"-9,192533317","7,713451316",39
"-8,356238926","9,958577761",39
"-7,5","12,99038106",39
5,"-8,660254038","85,55"
"4,446261863","-12,21600407","85,55"
"2,95201902","-16,7417318","85,55"
0,-15,"85,55"
"-2,431074487","-13,78730854","85,55"
"-4,446261863","-12,21600407","85,55"
"-4,5","-7,794228634","85,55"
"-6,427876097","-7,660444431","85,55"
"-6,894399988","-5,785088487","85,55"
"-10,39230485",-6,"85,55"
"-4,698463104","-1,710100717","85,55"
"-5,908846518","-1,041889066","85,55"
-10,0,"85,55"
"-11,81769304","2,083778132","85,55"
"-16,91446717","6,15636258","85,55"
"-17,32050808",10,"85,55"
"-19,15111108","16,06969024","85,55"
"-17,99805307","21,44924441","85,55"
"-15,5","26,84678752","85,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
"-0,6427876097","0,7660444431","102,55"
-5,"8,660254038","102,55"
9,"15,58845727",24
"10,92738936","13,02275553",24
"13,78879998","11,57017697",24
"15,58845727",9,24
"17,85415979","6,498382723",24
"17,72653955","3,125667198",24
17,0,24
"15,75692405","-2,778370843",24
"15,97477455","-5,814342437",24
"14,72243186","-8,5",24
"13,78879998","-11,57017697",24
"12,21296458","-14,55484442",24
"8,5","-14,72243186",24
"6,498382723","-17,85415979",24
"3,125667198","-17,72653955",24
0,-17,24
"-3,299315376","-18,71134731",24
"-6,498382723","-17,85415979",24
"-9,5","-16,45448267",24
"8,5","14,72243186",39
"10,28460175","12,25671109",39
"11,49066665","9,641814145",39
"14,72243186","8,5",39
"15,97477455","5,814342437",39
"16,7417318","2,95201902",39
15,0,39
"15,75692405","-2,778370843",39
"14,09538931","-5,13030215",39
"12,12435565",-7,39
"13,02275553","-10,92738936",39
"8,999026536","-10,7246222",39
8,"-13,85640646",39
"4,788282007","-13,15569669",39
"2,25742631","-12,80250079",39
0,-13,39
"-2,431074487","-13,78730854",39
"-4,10424172","-11,27631145",39
