x,y,z
"-9,780145524",0,"-15,71539031"
"-11,3373002","1,999071914","-14,71539031"
"-10,81792594","3,937403039","-14,71539031"
"-12,21985448","7,055136271","-13,21539031"
"-10,14568192","8,51323796","-13,71539031"
"-8,51323796","10,14568192","-13,71539031"
"-7,921161675","13,71985448","-12,21539031"
"-5,12219557","14,07311667","-12,71539031"
"-2,901374313","16,45451139","-11,71539031"
0,"18,44039956","-10,71539031"
"2,901374313","16,45451139","-11,71539031"
"6,306988101","17,32830739","-10,71539031"
"8,787187079","15,21985448","-11,21539031"
"10,73991956","12,79933772","-11,71539031"
"12,13592377","10,18324916","-12,21539031"
"14,46985448","8,354174377","-11,71539031"
"13,25931899","4,825997437","-13,21539031"
"13,04303727","2,29983938","-13,71539031"
"11,51219633",0,"-14,71539031"
"-17,86860279",0,"6,274990748"
"-21,86148122","3,854768978","8,774990748"
"-24,11517332","8,777205282","10,77499075"
"-25,22466395","14,56346652","12,77499075"
"-22,97593915","19,27910207","13,27499075"
"-20,39244286","24,30276705","14,27499075"
"-17,16154273","29,72466395","15,77499075"
"-12,33158288","33,8807455","16,77499075"
"-6,411292442","36,36024627","17,27499075"
0,"37,78718708","17,77499075"
"6,561676175","37,2131148","17,77499075"
"12,92397914","35,50834086","17,77499075"
"18,02756814","31,22466395","16,77499075"
"22,61912446","26,95642284","16,27499075"
"22,97593915","19,27910207","13,27499075"
"22,22466395","12,83141571","10,77499075"
"17,60479187","6,407620221","6,774990748"
"15,03853297","2,651699113","4,774990748"
"10,94039956",0,"2,274990748"
"-22,30641571",0,"62,58847329"
"-26,2318738","4,625387105","65,08847329"
"-26,65775801","9,702630428","66,08847329"
"-22,31792267","12,88525866","64,58847329"
"-21,73160344","18,23498043","66,08847329"
"-17,12163963","20,40477554","65,08847329"
"-12,88525866","22,31792267","64,58847329"
"-8,81403603","24,21636497","64,58847329"
"-4,475003372","25,37900526","64,58847329"
0,"24,90449192","64,08847329"
"4,174235905","23,6732682","63,58847329"
"8,517837897","23,40256729","64,08847329"
"12,88525866","22,31792267","64,58847329"
"17,12163963","20,40477554","65,08847329"
"21,73160344","18,23498043","66,08847329"
"22,31792267","12,88525866","64,58847329"
"25,03016265","9,110234163","65,08847329"
"23,6732682","4,174235905","63,58847329"
"20,57436491",0,"61,58847329"
"-7,744237886",0,"73,81090516"
"-8,479454044","1,49515653","74,31090516"
"-8,904798558","3,241081617","74,81090516"
"-9,706706743","5,604169751","75,81090516"
"-9,912914088","8,317922555","76,81090516"
"-8,317922555","9,912914088","76,81090516"
"-6,470195155","11,20670674","76,81090516"
"-5,314468546","14,60138233","78,31090516"
"-2,848610128","16,15527083","78,81090516"
0,"15,53846652","78,31090516"
"2,848610128","16,15527083","78,81090516"
"5,610666679","15,41518001","78,81090516"
"8,202245962","14,20670674","78,81090516"
"9,431263354","11,23974198","77,81090516"
"9,912914088","8,317922555","76,81090516"
"9,706706743","5,604169751","75,81090516"
"9,71859624","3,53727975","75,31090516"
"8,479454044","1,49515653","74,31090516"
"6,012187079",0,"72,81090516"
"3,591034656","-6,219854476","-17,21539031"
"2,752610508","-7,562735216","-16,71539031"
"1,247153248","-7,072957542","-17,21539031"
0,"-5,450018505","-18,21539031"
"-0,9463857816","-5,367220478","-18,21539031"
"-2,160214243","-5,935139853","-17,71539031"
"-3,591034656","-6,219854476","-17,21539031"
"-4,616545166","-5,501784287","-17,21539031"
"-6,165198235","-5,173215565","-16,71539031"
"-8,469854476","-4,890072762","-15,71539031"
"-9,190330579","-3,345006774","-15,71539031"
"-10,48443167","-1,848688181","-15,21539031"
"-13,24424714",0,"-13,71539031"
"-12,19016873","2,149455647","-14,21539031"
"-13,25931899","4,825997437","-13,21539031"
"-12,96985448","7,488148973","-12,71539031"
"-12,13592377","10,18324916","-12,21539031"
"-11,29658996","13,46275166","-11,21539031"
"-8,787187079","15,21985448","-11,21539031"
"7,63526329","-13,22466395","4,774990748"
"5,519025822","-15,16339882","5,274990748"
"2,50131538","-14,18566444","4,274990748"
0,"-16,13655198","5,274990748"
"-2,802082846","-15,8914015","5,274990748"
"-5,815223955","-15,97719651","5,774990748"
"-8,068275992","-13,97466395","5,274990748"
"-11,48571648","-13,68814388","6,274990748"
"-14,35155782","-12,04238688","6,774990748"
"-17,72466395","-10,2333395","7,774990748"
"-17,60479187","-6,407620221","6,774990748"
"-21,86148122","-3,854768978","8,774990748"
"-23,93078062",0,"9,774990748"
"-26,12582388","4,606687644","11,27499075"
"-24,11517332","8,777205282","10,77499075"
"-24,47466395","14,13045382","12,27499075"
"-23,6393531","19,83577247","13,77499075"
"-19,83577247","23,6393531","13,77499075"
"-15,86250463","27,47466395","14,27499075"
"8,555131645","-14,81792267","59,58847329"
"6,148252836","-16,89218583","60,08847329"
"2,820782307","-15,99745141","59,08847329"
0,"-17,11026329","59,58847329"
"-2,670398573","-15,14458288","58,58847329"
"-6,444450968","-17,70598352","60,58847329"
"-9,421157049","-16,31792267","60,58847329"
"-12,11160604","-14,43405001","60,58847329"
"-15,09746396","-12,66827644","61,08847329"
"-16,31792267","-9,421157049","60,58847329"
"-20,14737656","-7,333045367","62,08847329"
"-21,1146626","-3,723084706","62,08847329"
"-21,44039031",0,"62,08847329"
"-20,26179407","3,572700972","61,58847329"
"-17,70598352","6,444450968","60,58847329"
"-15,56792267","8,988144347","60,08847329"
"-16,42429185","13,78161724","62,08847329"
"-14,89495804","17,75111975","63,08847329"
"-10,28718245","17,81792267","61,58847329"
"-1,757046181","3,043293257","67,31090516"
"-0,6094941081","1,674571299","68,31090516"
"-0,3094482686","1,75496834","68,31090516"
0,"2,648066959","67,81090516"
"0,4598320018","2,607836872","67,81090516"
"0,6094941081","1,674571299","68,31090516"
"0,8910207776","1,543293257","68,31090516"
"1,702144631","2,028536979","67,81090516"
"0,7017090826","0,5888038324","68,81090516"
"0,7932932574","0,4580080757","68,81090516"
"3,302166662","1,201890374","67,31090516"
"2,607836872","0,4598320018","67,81090516"
"2,648066959",0,"67,81090516"
"1,75496834","-0,3094482686","68,31090516"
"0,04697593662","-0,01709784266","69,31090516"
"-2,206706743","1,274042732","70,81090516"
"-3,278774606","2,751218563","71,81090516"
"-3,864559361","4,605602503","72,81090516"
"-2,573080838","4,456706743","72,31090516"
"9,220199781","15,96985448","-10,71539031"
"11,29658996","13,46275166","-11,21539031"
"13,46275166","11,29658996","-11,21539031"
"15,96985448","9,220199781","-10,71539031"
"16,51450971","6,010789968","-11,21539031"
"14,74877433","2,600606847","-12,71539031"
"10,64617093",0,"-15,21539031"
"8,778694605","-1,547920714","-16,21539031"
