x,y,z
-28,0,24
"-26,84678752","15,5",24
"-15,5","26,84678752",24
0,34,24
"16,5","28,57883832",24
"25,11473671","14,5",24
26,0,24
-34,0,39
"-31,17691454",18,39
-19,"32,90896534",39
0,41,39
20,"34,64101615",39
"31,17691454",18,39
32,0,39
-23,0,"85,55"
"-19,05255888",11,"85,55"
"-13,5","23,3826859","85,55"
0,31,"85,55"
"14,5","25,11473671","85,55"
"12,99038106","7,5","85,55"
2,0,"85,55"
-1,0,"102,55"
"-6,92820323",4,"102,55"
1,"-1,732050808","102,55"
0,-4,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
13,"-22,5166605",24
0,-28,24
"-13,5","-23,3826859",24
"-19,91858429","-11,5",24
-27,0,24
"-26,84678752","15,5",24
"-16,5","28,57883832",24
"12,5","-21,65063509",39
0,-27,39
-14,"-24,24871131",39
"-20,78460969",-12,39
-27,0,39
"-26,84678752","15,5",39
-16,"27,71281292",39
"13,5","-23,3826859","85,55"
0,-28,"85,55"
-13,"-22,5166605","85,55"
"-19,05255888",-11,"85,55"
-20,0,"85,55"
"-22,5166605",13,"85,55"
"-14,5","25,11473671","85,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
"11,5","19,91858429",24
"15,58845727",9,24
15,0,24
"14,72243186","-8,5",24
8,"-13,85640646",24
0,-18,24
"-8,5","-14,72243186",24
"8,5","14,72243186",39
"11,25833025","6,5",39
10,0,39
"6,92820323",-4,39
2,"-3,464101615",39
0,-1,39
-2,"-3,464101615",39
"12,5","21,65063509","85,55"
"19,05255888",11,"85,55"
11,0,"85,55"
"3,464101615",-2,"85,55"
-2,"3,464101615","85,55"
0,0,"85,55"
2,"3,464101615","85,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
"17,5","-30,31088913","102,55"
0,-45,"102,55"
-18,"-31,17691454","102,55"
