x,y,z
-19,0,24
"-17,72653955","3,125667198",24
"-16,91446717","6,15636258",24
"-18,18653348","10,5",24
"-13,78879998","11,57017697",24
"-14,14132741","16,85297775",24
"-9,5","16,45448267",24
"-6,840402867","18,79385242",24
"-3,646611731","20,68096281",24
0,23,24
"3,820259909","21,66577057",24
"7,866463296","21,61293028",24
"11,5","19,91858429",24
"14,78411502","17,61902219",24
"15,32088886","12,85575219",24
"19,05255888",11,24
"19,73354504","7,18242301",24
"20,68096281","3,646611731",24
17,0,24
-12,0,39
"-11,81769304","2,083778132",39
"-9,396926208","3,420201433",39
"-7,794228634","4,5",39
"-6,128355545","5,142300877",39
"-5,785088487","6,894399988",39
"-5,5","9,526279442",39
"-4,446261863","12,21600407",39
"-2,25742631","12,80250079",39
0,10,39
"2,604722665","14,7721163",39
"6,15636258","16,91446717",39
9,"15,58845727",39
"12,21296458","14,55484442",39
"13,78879998","11,57017697",39
"14,72243186","8,5",39
"12,21600407","4,446261863",39
"11,81769304","2,083778132",39
9,0,39
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
"5,362311102","4,499513268","85,55"
"10,39230485",6,"85,55"
"9,396926208","3,420201433","85,55"
"-1,969615506","-0,3472963553","85,55"
6,0,"85,55"
0,0,"102,55"
0,0,"102,55"
"3,758770483","-1,368080573","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
"8,5","-14,72243186",24
"6,15636258","-16,91446717",24
"3,299315376","-18,71134731",24
0,-18,24
"-3,299315376","-18,71134731",24
"-6,498382723","-17,85415979",24
"-8,5","-14,72243186",24
"-8,999026536","-10,7246222",24
"-11,49066665","-9,641814145",24
"-12,12435565",-7,24
"-13,15569669","-4,788282007",24
"-12,80250079","-2,25742631",24
-15,0,24
"-11,81769304","2,083778132",24
"-12,21600407","4,446261863",24
"-10,39230485",6,24
"-9,958577761","8,356238926",24
"-8,356238926","9,958577761",24
"-7,5","12,99038106",24
12,"-20,78460969",39
"7,866463296","-21,61293028",39
"4,514852619","-25,60500158",39
0,-23,39
"-4,167556264","-23,63538607",39
"-7,524443153","-20,67323766",39
"-12,5","-21,65063509",39
"-12,85575219","-15,32088886",39
"-16,08693331","-13,4985398",39
"-18,18653348","-10,5",39
"-20,67323766","-7,524443153",39
"-18,71134731","-3,299315376",39
-17,0,39
0,0,39
0,0,39
0,0,39
0,0,39
0,0,39
0,0,39
-2,"3,464101615","85,55"
0,0,"85,55"
"4,862148975","-27,57461708","85,55"
0,0,"85,55"
"-5,20944533","-29,54423259","85,55"
