x,y,z
-15,0,24
"-14,72243186","8,5",24
-9,"15,58845727",24
0,22,24
"11,5","19,91858429",24
"20,78460969",12,24
21,0,24
-10,0,39
"-12,99038106","7,5",39
"-9,5","16,45448267",39
0,21,39
"11,5","19,91858429",39
"17,32050808",10,39
11,0,39
0,0,"85,55"
"4,330127019","-2,5","85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
4,0,"85,55"
0,0,"102,55"
"3,464101615",-2,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
8,"-13,85640646",24
0,-16,24
-8,"-13,85640646",24
"-9,526279442","-5,5",24
-9,0,24
"-8,660254038",5,24
-7,"12,12435565",24
11,"-19,05255888",39
0,-22,39
"-10,5","-18,18653348",39
"-13,85640646",-8,39
-12,0,39
0,0,39
0,0,39
0,0,"85,55"
0,-26,"85,55"
"-12,5","-21,65063509","85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
2,"-3,464101615","102,55"
0,-19,"102,55"
-12,"-20,78460969","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
11,"19,05255888",24
"18,18653348","10,5",24
21,0,24
"19,91858429","-11,5",24
11,"-19,05255888",24
0,-21,24
"-11,5","-19,91858429",24
"2,5","4,330127019",39
"4,330127019","2,5",39
4,0,39
"6,062177826","-3,5",39
5,"-8,660254038",39
0,-14,39
-7,"-12,12435565",39
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
"0,5","0,8660254038","102,55"
"19,05255888",11,"102,55"
23,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
