x,y,z
-25,0,24
"-21,65063509","12,5",24
-13,"22,5166605",24
0,25,24
15,"25,98076211",24
"22,5166605",13,24
21,0,24
-27,0,39
"-22,5166605",13,39
"-12,5","21,65063509",39
0,26,39
"15,5","26,84678752",39
"23,3826859","13,5",39
22,0,39
-28,0,"85,55"
"-26,84678752","15,5","85,55"
"-15,5","26,84678752","85,55"
0,31,"85,55"
"16,5","28,57883832","85,55"
"25,11473671","14,5","85,55"
21,0,"85,55"
-31,0,"102,55"
"-28,57883832","16,5","102,55"
-17,"29,44486373","102,55"
0,32,"102,55"
18,"31,17691454","102,55"
"25,98076211",15,"102,55"
24,0,"102,55"
8,"-13,85640646",24
0,-13,24
"-5,5","-9,526279442",24
"-9,526279442","-5,5",24
-12,0,24
"-12,99038106","7,5",24
"-9,5","16,45448267",24
8,"-13,85640646",39
0,-13,39
"-6,5","-11,25833025",39
"-10,39230485",-6,39
-11,0,39
"-14,72243186","8,5",39
"-11,5","19,91858429",39
13,"-22,5166605","85,55"
0,-22,"85,55"
-10,"-17,32050808","85,55"
"-17,32050808",-10,"85,55"
-22,0,"85,55"
"-25,98076211",15,"85,55"
"-20,5","35,50704156","85,55"
8,"-13,85640646","102,55"
0,-13,"102,55"
"-6,5","-11,25833025","102,55"
"-10,39230485",-6,"102,55"
-15,0,"102,55"
"-18,18653348","10,5","102,55"
-16,"27,71281292","102,55"
10,"17,32050808",24
"22,5166605",13,24
24,0,24
"19,05255888",-11,24
"10,5","-18,18653348",24
0,-19,24
-10,"-17,32050808",24
11,"19,05255888",39
"22,5166605",13,39
25,0,39
"19,91858429","-11,5",39
8,"-13,85640646",39
0,-16,39
"-7,5","-12,99038106",39
"20,5","35,50704156","85,55"
"34,64101615",20,"85,55"
40,0,"85,55"
"30,31088913","-17,5","85,55"
"13,5","-23,3826859","85,55"
0,-27,"85,55"
-12,"-20,78460969","85,55"
"14,5","25,11473671","102,55"
"26,84678752","15,5","102,55"
29,0,"102,55"
"21,65063509","-12,5","102,55"
8,"-13,85640646","102,55"
0,-14,"102,55"
-6,"-10,39230485","102,55"
