x,y,z
"-11,51219633",0,"-14,71539031"
"-9,631563137","1,698304448","-15,71539031"
"-10,00412826","3,641204907","-15,21539031"
"-9,219854476","5,323085464","-15,21539031"
"-8,15544008","6,843226763","-15,21539031"
"-6,843226763","8,15544008","-15,21539031"
"-5,756098166","9,969854476","-14,71539031"
"-3,641204907","10,00412826","-15,21539031"
"-2,29983938","13,04303727","-13,71539031"
0,"13,24424714","-13,71539031"
"2,600606847","14,74877433","-12,71539031"
"4,233601172","11,63172362","-14,21539031"
"6,189110868","10,71985448","-14,21539031"
"7,956567561","9,482267976","-14,21539031"
"7,492026131","6,286556364","-15,71539031"
"9,219854476","5,323085464","-15,21539031"
"7,562735216","2,752610508","-16,71539031"
"7,925826073","1,397536981","-16,71539031"
"4,583993101",0,"-18,71539031"
"-3,146170928",0,"-2,225009252"
"-4,804110586","0,8470943146","-1,225009252"
"-2,956433604","1,076053832","-2,225009252"
"-3,474663948","2,006098166","-1,725009252"
"-2,410106756","2,02231969","-2,225009252"
"-3,135660489","3,736934652","-1,225009252"
"-2,006098166","3,474663948","-1,725009252"
"-1,668450097","4,584028967","-1,225009252"
"-0,6967105814","3,951242054","-1,725009252"
0,"2,280145524","-2,725009252"
"0,5463268482","3,098373522","-2,225009252"
"1,96464823","5,397826648","-0,7250092524"
"2,439110868","4,224663948","-1,225009252"
"3,692330888","4,400348601","-0,7250092524"
"4,400348601","3,692330888","-0,7250092524"
"6,474663948","3,738148973","0,2749907476"
"5,397826648","1,96464823","-0,7250092524"
"5,656979118","0,9974780477","-0,7250092524"
"4,878221735",0,"-1,225009252"
"-11,91411087",0,"56,58847329"
"-12,58597728","2,219247374","57,08847329"
"-12,82319743","4,667262172","57,58847329"
"-12,56792267","7,256093539","58,08847329"
"-15,09746396","12,66827644","61,08847329"
"-10,44159484","12,44380817","59,08847329"
"-4,225004626","7,317922675","54,58847329"
"-2,001478977","5,499018296","53,08847329"
"-0,5650263089","3,204423433","51,58847329"
0,"3,25385683","51,58847329"
"0,8657937752","4,910160497","52,58847329"
"1,409082712","3,871422933","52,08847329"
"4,225004626","7,317922675","54,58847329"
"7,658242846","9,126738425","56,58847329"
"10,45356632","8,771583645","57,58847329"
"11,81792267","6,823080838","57,58847329"
"9,568006703","3,482469641","55,58847329"
"5,763029029","1,016177508","53,08847329"
"-2,808320997",0,"48,08847329"
"-13,80641571",0,"77,31090516"
"-14,44953377","2,547842662","77,81090516"
"-14,60138233","5,314468546","78,31090516"
"-11,95670674","6,903207856","77,31090516"
"-11,90315593","9,987933753","78,31090516"
"-8,874592954","10,57632804","77,31090516"
"-8,202245962","14,20670674","78,81090516"
"-3,833477883","10,53239392","75,81090516"
"-1,49515653","8,479454044","74,31090516"
0,"6,012187079","72,81090516"
"1,194389063","6,77371698","73,31090516"
"2,056289086","5,649607833","72,81090516"
"3,872118943","6,706706743","73,81090516"
"7,761252156","9,24950014","76,31090516"
"9,912914088","8,317922555","76,81090516"
"12,70670674","7,336220558","77,81090516"
"13,78758465","5,018270414","77,81090516"
"11,03805964","1,946307729","75,81090516"
"8,61026329",0,"74,31090516"
"4,024047358","-6,969854476","-16,71539031"
"3,345006774","-9,190330579","-15,71539031"
"1,247153248","-7,072957542","-17,21539031"
0,"-7,182069312","-17,21539031"
"-0,9463857816","-5,367220478","-18,21539031"
"-2,160214243","-5,935139853","-17,71539031"
"-4,024047358","-6,969854476","-16,71539031"
"-4,616545166","-5,501784287","-17,21539031"
"-5,501784287","-4,616545166","-17,21539031"
"-6,969854476","-4,024047358","-16,71539031"
"-8,376532898","-3,048808641","-16,21539031"
"-7,925826073","-1,397536981","-16,71539031"
"-8,048094716",0,"-16,71539031"
"-9,631563137","1,698304448","-15,71539031"
"-9,190330579","3,345006774","-15,71539031"
"-8,469854476","4,890072762","-15,71539031"
"-8,15544008","6,843226763","-15,21539031"
"-7,956567561","9,482267976","-14,21539031"
"-7,488148973","12,96985448","-12,71539031"
"0,2740473581","-0,4746639479","-3,725009252"
"0,1874594334","-0,5150405603","-3,725009252"
"-0,2055918177","1,165969138","-4,725009252"
0,"0,3179306876","-4,225009252"
"0,2055918177","1,165969138","-4,725009252"
"0,7011349648","1,926352484","-5,225009252"
"1,024990748","1,775336052","-5,225009252"
"-0,3523084925","-0,4198649116","-3,725009252"
"-0,4198649116","-0,3523084925","-3,725009252"
"2,525336052","1,458003449","-5,725009252"
"0,00001199225205","0,000004364822788","-4,041459252"
"2,01883767","0,3559755509","-5,225009252"
"3,782032303",0,"-6,225009252"
"1,165969138","-0,2055918177","-4,725009252"
"-0,5150405603","0,1874594334","-3,725009252"
"-1,974663948","1,140072762","-2,725009252"
"-1,746692808","1,465649291","-2,725009252"
"-2,02231969","2,410106756","-2,225009252"
"-0,70706006","1,224663948","-3,225009252"
"4,225004626","-7,317922675","54,58847329"
"2,29767711","-6,312815977","53,58847329"
"1,016177508","-5,763029029","53,08847329"
0,"-6,717958445","53,58847329"
"-1,016177508","-5,763029029","53,08847329"
"-2,29767711","-6,312815977","53,58847329"
"-4,658017328","-8,067922675","55,08847329"
"-7,658242846","-9,126738425","56,58847329"
"-9,126738425","-7,658242846","56,58847329"
"-11,06792267","-6,390068136","57,08847329"
"-10,38180438","-3,778667774","56,08847329"
"-10,88024022","-1,918479907","56,08847329"
"-14,51218708",0,"58,08847329"
"-16,85031994","2,97116604","59,58847329"
"-18,5197812","6,740649101","61,08847329"
"-16,31792267","9,421157049","60,58847329"
"-15,09746396","12,66827644","61,08847329"
"-14,89495804","17,75111975","63,08847329"
"-11,15320786","19,31792267","62,58847329"
"-0,4580080757","0,7932932574","68,81090516"
"-0,3132959754","0,860773618","68,81090516"
"-0,6102157349","3,460705404","67,31090516"
0,"3,514092363","67,31090516"
"1,061366934","6,019310999","65,81090516"
"1,498088506","4,115964343","66,81090516"
"1,757046181","3,043293257","67,31090516"
"0,03213343315","0,0382951344","69,31090516"
"-1,95194671","-1,637877765","70,81090516"
"-2,956706743","-1,707055434","71,31090516"
"-3,208214789","-1,167694688","71,31090516"
"-4,215111384","-0,7432378637","71,81090516"
"-6,012187079",0,"72,81090516"
"-9,332322576","1,645540263","74,81090516"
"-10,53239392","3,833477883","75,81090516"
"-10,45670674","6,037182453","76,31090516"
"-10,57632804","8,874592954","77,31090516"
"-9,987933753","11,90315593","78,31090516"
"-9,068271366","15,70670674","79,81090516"
"15,71539031","27,21985448","-3,215390309"
"20,20331634","24,07737484","-3,215390309"
"23,41396089","19,64664595","-3,715390309"
"25,71985448","14,84936491","-4,215390309"
"27,09387957","9,861365694","-4,715390309"
"28,39467084","5,006746577","-4,715390309"
"27,966679",0,"-5,215390309"
"28,39467084","-5,006746577","-4,715390309"
"26,28008189","-9,565167561","-5,215390309"
