x,y,z
-40,0,24
"-31,00985649","11,28666473",24
"-31,40782217","26,354292",24
"-19,5","33,77499075",24
"-5,20944533","29,54423259",24
"5,383093508","30,52904034",24
20,"34,64101615",24
"29,10968884","24,42592917",24
"27,251086","9,918584156",24
29,0,24
-43,0,39
"-32,88924173","11,97070502",39
"-32,17386661","26,99707961",39
"-22,5","38,97114317",39
"-6,077686218","34,46827136",39
"5,730389863","32,49865585",39
21,"36,37306696",39
"29,87573328","25,06871678",39
"27,251086","9,918584156",39
28,0,39
0,0,"85,55"
"-34,76862697","12,6547453","85,55"
"-26,04551107","21,85477873","85,55"
"-16,5","28,57883832","85,55"
"-6,424982574","36,43788686","85,55"
"6,945927107","39,39231012","85,55"
18,"31,17691454","85,55"
"29,10968884","24,42592917","85,55"
"30,07016387","10,94464459","85,55"
29,0,"85,55"
-31,0,"102,55"
"-7,517540966","2,736161147","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
"9,5","-16,45448267",24
"3,646611731","-20,68096281",24
"-3,646611731","-20,68096281",24
"-13,5","-23,3826859",24
"-25,27946662","-21,21199112",24
"-20,67323766","-7,524443153",24
-20,0,24
"-25,37170076","9,23454387",24
"-26,04551107","21,85477873",24
"-20,5","35,50704156",24
"9,5","-16,45448267",39
"3,472963553","-19,69615506",39
"-3,299315376","-18,71134731",39
"-13,5","-23,3826859",39
"-26,81155551","-22,49756634",39
"-24,43200814","-8,892523726",39
-23,0,39
"-24,43200814","8,892523726",39
"-28,3436444","23,78314156",39
"-22,5","38,97114317",39
"7,5","-12,99038106","85,55"
"1,910129954","-10,83288528","85,55"
"-2,604722665","-14,7721163","85,55"
"-8,5","-14,72243186","85,55"
"-13,02275553","-10,92738936","85,55"
0,0,"85,55"
0,0,"85,55"
"-28,19077862","10,2606043","85,55"
"-26,81155551","22,49756634","85,55"
-24,"41,56921938","85,55"
"16,5","-28,57883832","102,55"
"4,341204442","-24,62019383","102,55"
"-4,514852619","-25,60500158","102,55"
-11,"-19,05255888","102,55"
"-12,25671109","-10,28460175","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
"16,5","28,57883832",24
"33,7059555","28,28265483",24
"31,00985649","11,28666473",24
30,0,24
"31,94954911","-11,62868487",24
"29,10968884","-24,42592917",24
"13,5","-23,3826859",24
"4,514852619","-25,60500158",24
"-4,862148975","-27,57461708",24
-16,"-27,71281292",24
"19,5","33,77499075",39
"33,7059555","28,28265483",39
"30,07016387","10,94464459",39
31,0,39
"31,94954911","-11,62868487",39
"26,81155551","-22,49756634",39
12,"-20,78460969",39
"3,820259909","-21,66577057",39
"-4,167556264","-23,63538607",39
"-14,5","-25,11473671",39
0,0,"85,55"
0,0,"85,55"
"44,16555318","16,07494674","85,55"
43,0,"85,55"
"44,16555318","-16,07494674","85,55"
"29,87573328","-25,06871678","85,55"
"13,5","-23,3826859","85,55"
"3,472963553","-19,69615506","85,55"
"-4,341204442","-24,62019383","85,55"
-16,"-27,71281292","85,55"
4,"6,92820323","102,55"
"10,7246222","8,999026536","102,55"
"15,03508193","5,472322293","102,55"
16,0,"102,55"
"25,37170076","-9,23454387","102,55"
"25,27946662","-21,21199112","102,55"
20,"-34,64101615","102,55"
"7,119575284","-40,37711787","102,55"
"-7,119575284","-40,37711787","102,55"
-20,"-34,64101615","102,55"
