x,y,z
-23,0,24
"-26,58980933","4,688500797",24
"-25,37170076","9,23454387",24
"-23,3826859","13,5",24
"-25,27946662","21,21199112",24
"-25,71150439","30,64177772",24
-21,"36,37306696",24
"-11,62868487","31,94954911",24
"-5,20944533","29,54423259",24
0,27,24
"5,20944533","29,54423259",24
"10,94464459","30,07016387",24
"21,5","37,23909236",24
"30,21101766","36,00408883",24
"28,3436444","23,78314156",24
"25,98076211",15,24
"25,37170076","9,23454387",24
"26,58980933","4,688500797",24
28,0,24
-23,0,39
"-26,58980933","4,688500797",39
"-27,251086","9,918584156",39
"-26,84678752","15,5",39
"-26,04551107","21,85477873",39
"-25,71150439","30,64177772",39
"-21,5","37,23909236",39
"-12,31272516","33,82893435",39
"-5,556741685","31,5138481",39
0,31,39
"5,556741685","31,5138481",39
"11,97070502","32,88924173",39
22,"38,10511777",39
"28,28265483","33,7059555",39
"28,3436444","23,78314156",39
"25,98076211",15,39
"26,31139338","9,576564013",39
"27,57461708","4,862148975",39
27,0,39
-24,0,"85,55"
"-25,60500158","4,514852619","85,55"
"-21,61293028","7,866463296","85,55"
"-19,05255888",11,"85,55"
"-16,85297775","14,14132741","85,55"
"-12,85575219","15,32088886","85,55"
-9,"15,58845727","85,55"
"-6,15636258","16,91446717","85,55"
"-2,95201902","16,7417318","85,55"
0,20,"85,55"
"3,472963553","19,69615506","85,55"
"7,866463296","21,61293028","85,55"
12,"20,78460969","85,55"
"16,71247785","19,91715552","85,55"
"19,15111108","16,06969024","85,55"
"23,3826859","13,5","85,55"
"22,5526229","8,20848344","85,55"
"28,55942484","5,035797152","85,55"
27,0,"85,55"
-17,0,"102,55"
"-14,7721163","2,604722665","102,55"
"-7,517540966","2,736161147","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
9,"-15,58845727",24
"5,13030215","-14,09538931",24
"3,472963553","-19,69615506",24
0,-21,24
"-3,646611731","-20,68096281",24
"-8,892523726","-24,43200814",24
-17,"-29,44486373",24
"-19,9264159","-23,74737774",24
"-19,15111108","-16,06969024",24
"-17,32050808",-10,24
"-15,03508193","-5,472322293",24
"-17,72653955","-3,125667198",24
-17,0,24
"-20,68096281","3,646611731",24
"-20,67323766","7,524443153",24
"-21,65063509","12,5",24
"-24,51342218","20,56920351",24
"-26,99707961","32,17386661",24
-17,"29,44486373",24
9,"-15,58845727",39
"4,788282007","-13,15569669",39
"3,472963553","-19,69615506",39
0,-20,39
"-3,646611731","-20,68096281",39
"-8,20848344","-22,5526229",39
-16,"-27,71281292",39
"-21,21199112","-25,27946662",39
"-22,21528885","-18,64084068",39
"-19,91858429","-11,5",39
"-17,85415979","-6,498382723",39
"-19,69615506","-3,472963553",39
-22,0,39
"-21,66577057","3,820259909",39
"-24,43200814","8,892523726",39
"-25,11473671","14,5",39
"-26,04551107","21,85477873",39
"-30,21101766","36,00408883",39
"-21,5","37,23909236",39
8,"-13,85640646","85,55"
"4,788282007","-13,15569669","85,55"
"2,778370843","-15,75692405","85,55"
0,-18,"85,55"
"-2,95201902","-16,7417318","85,55"
"-8,20848344","-22,5526229","85,55"
"-13,5","-23,3826859","85,55"
"-14,78411502","-17,61902219","85,55"
"-16,08693331","-13,4985398","85,55"
"-13,85640646",-8,"85,55"
"-17,85415979","-6,498382723","85,55"
"-18,71134731","-3,299315376","85,55"
-26,0,"85,55"
"-33,4834636","5,904038041","85,55"
"-36,64801221","13,33878559","85,55"
"-36,37306696",21,"85,55"
"-31,40782217","26,354292","85,55"
"-30,85380526","36,77013327","85,55"
0,0,"85,55"
"21,5","-37,23909236","102,55"
"9,918584156","-27,251086","102,55"
"5,035797152","-28,55942484","102,55"
0,-33,"102,55"
"-5,383093508","-30,52904034","102,55"
"-10,94464459","-30,07016387","102,55"
"-15,5","-26,84678752","102,55"
"-19,9264159","-23,74737774","102,55"
"-19,15111108","-16,06969024","102,55"
"-23,3826859","-13,5","102,55"
"-21,61293028","-7,866463296","102,55"
"-20,68096281","-3,646611731","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
17,"29,44486373",24
"26,354292","31,40782217",24
"32,17386661","26,99707961",24
"30,31088913","17,5",24
