x,y,z
-32,0,24
"-29,13047124","10,60262444",24
"-25,27946662","21,21199112",24
"-15,5","26,84678752",24
"-5,383093508","30,52904034",24
"5,730389863","32,49865585",24
17,"29,44486373",24
"24,51342218","20,56920351",24
"28,19077862","10,2606043",24
27,0,24
-32,0,39
"-33,82893435","12,31272516",39
"-27,57759995","23,14035395",39
-17,"29,44486373",39
"-5,730389863","32,49865585",39
"6,424982574","36,43788686",39
18,"31,17691454",39
"26,04551107","21,85477873",39
"30,07016387","10,94464459",39
30,0,39
-33,0,"85,55"
"-31,00985649","11,28666473","85,55"
"-31,40782217","26,354292","85,55"
"-19,5","33,77499075","85,55"
"-7,46687164","42,34673338","85,55"
"6,945927107","39,39231012","85,55"
"20,5","35,50704156","85,55"
"28,3436444","23,78314156","85,55"
"30,07016387","10,94464459","85,55"
29,0,"85,55"
-9,0,"102,55"
"-8,457233587","3,07818129","102,55"
"-6,894399988","5,785088487","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
"0,5","0,8660254038","102,55"
0,0,"102,55"
"0,9396926208","0,3420201433","102,55"
0,0,"102,55"
"10,5","-18,18653348",24
"3,299315376","-18,71134731",24
"-3,472963553","-19,69615506",24
"-8,5","-14,72243186",24
"-13,02275553","-10,92738936",24
"-17,85415979","-6,498382723",24
-17,0,24
"-19,73354504","7,18242301",24
"-19,15111108","16,06969024",24
"-12,5","21,65063509",24
11,"-19,05255888",39
"3,646611731","-20,68096281",39
"-3,646611731","-20,68096281",39
"-10,5","-18,18653348",39
"-16,08693331","-13,4985398",39
"-17,85415979","-6,498382723",39
-22,0,39
"-24,43200814","8,892523726",39
"-22,21528885","18,64084068",39
-17,"29,44486373",39
"10,5","-18,18653348","85,55"
"2,95201902","-16,7417318","85,55"
"-2,95201902","-16,7417318","85,55"
"-8,5","-14,72243186","85,55"
"-11,49066665","-9,641814145","85,55"
"-3,758770483","-1,368080573","85,55"
-9,0,"85,55"
"-27,251086","9,918584156","85,55"
"-33,7059555","28,28265483","85,55"
0,0,"85,55"
"14,5","-25,11473671","102,55"
"3,993908086","-22,65057832","102,55"
"-3,993908086","-22,65057832","102,55"
-11,"-19,05255888","102,55"
"-14,55484442","-12,21296458","102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
0,0,"102,55"
13,"22,5166605",24
"22,21528885","18,64084068",24
"26,31139338","9,576564013",24
28,0,24
"28,19077862","-10,2606043",24
"21,44924441","-17,99805307",24
"12,5","-21,65063509",24
"4,862148975","-27,57461708",24
"-4,341204442","-24,62019383",24
"-13,5","-23,3826859",24
14,"24,24871131",39
"22,21528885","18,64084068",39
"26,31139338","9,576564013",39
31,0,39
"24,43200814","-8,892523726",39
"19,15111108","-16,06969024",39
11,"-19,05255888",39
"3,646611731","-20,68096281",39
"-3,646611731","-20,68096281",39
-12,"-20,78460969",39
0,0,"85,55"
0,0,"85,55"
0,0,"85,55"
43,0,"85,55"
"31,94954911","-11,62868487","85,55"
"19,91715552","-16,71247785","85,55"
"12,5","-21,65063509","85,55"
"3,993908086","-22,65057832","85,55"
"-4,514852619","-25,60500158","85,55"
"-14,5","-25,11473671","85,55"
"2,5","4,330127019","102,55"
"7,660444431","6,427876097","102,55"
"9,396926208","3,420201433","102,55"
13,0,"102,55"
"24,43200814","-8,892523726","102,55"
"26,81155551","-22,49756634","102,55"
"18,5","-32,04293994","102,55"
"6,251334396","-35,45307911","102,55"
"-5,904038041","-33,4834636","102,55"
-14,"-24,24871131","102,55"
